epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.003,1.37165,2.35854,0.94346,0.78015,0.92962,0.87493,0.60617,1.06859,0.98466,0.91785,0.000470729,0.000470729,0.000470729
2,514.032,1.12234,0.88783,0.88021,0.52538,0.74438,0.64152,0.45444,1.06238,6.05336,0.90245,0.000937687,0.000937687,0.000937687
3,735.582,1.11042,0.76561,0.88328,0.82335,0.89962,0.9067,0.63042,1.0113,0.87212,0.90728,0.00139521,0.00139521,0.00139521
4,933.86,1.07167,0.68062,0.86628,0.93883,0.96646,0.96432,0.72988,0.90441,0.57497,0.86545,0.00138656,0.00138656,0.00138656
5,1131.39,1.05837,0.7043,0.8652,0.84046,0.96578,0.9467,0.69852,0.91087,0.7288,0.87683,0.00137241,0.00137241,0.00137241
6,1389.5,1.02592,0.65104,0.856,0.95851,0.95972,0.97448,0.74538,0.87041,0.52334,0.86253,0.00135826,0.00135826,0.00135826
7,1596.82,1.00055,0.60667,0.86482,0.90919,0.95002,0.96152,0.70646,0.90678,0.59068,0.86856,0.00134412,0.00134412,0.00134412
8,1838.26,0.98494,0.5761,0.84625,0.90802,0.93805,0.96147,0.7293,0.9143,0.56629,0.87435,0.00132997,0.00132997,0.00132997
9,2031.18,0.97949,0.54134,0.85621,0.9298,0.97499,0.97348,0.74872,0.85085,0.6185,0.84794,0.00131582,0.00131582,0.00131582
10,2221.07,0.96754,0.56288,0.84723,0.94106,0.98958,0.97926,0.76509,0.79548,0.68941,0.8627,0.00130168,0.00130168,0.00130168
11,2412.02,0.94106,0.51915,0.8494,0.94237,0.98438,0.97849,0.73343,0.88327,0.49902,0.85855,0.00128753,0.00128753,0.00128753
12,2640.78,0.97354,0.54355,0.84147,0.87072,0.97393,0.94718,0.72227,0.85945,0.63746,0.85241,0.00127338,0.00127338,0.00127338
13,2776.89,0.92132,0.52865,0.8463,0.94279,0.96661,0.98447,0.78627,0.72528,0.45008,0.8398,0.00125923,0.00125923,0.00125923
14,2976.92,0.92401,0.51102,0.84186,0.94609,1,0.98111,0.78991,0.75691,0.48027,0.83687,0.00124509,0.00124509,0.00124509
15,3167.28,0.91096,0.49378,0.83396,0.92754,0.97752,0.976,0.77326,0.79106,0.47225,0.83327,0.00123094,0.00123094,0.00123094
16,3337.65,0.9149,0.50541,0.83242,0.91846,0.99763,0.97057,0.76934,0.72943,0.4662,0.8332,0.00121679,0.00121679,0.00121679
17,3464.83,0.92595,0.50619,0.83481,0.94708,0.95686,0.97826,0.77004,0.74289,0.45056,0.83534,0.00120265,0.00120265,0.00120265
18,3624.43,0.87843,0.47726,0.83951,0.95514,1,0.98088,0.79817,0.68004,0.41642,0.82765,0.0011885,0.0011885,0.0011885
19,3787.59,0.8606,0.48939,0.83,0.95443,0.98438,0.97881,0.75924,0.85026,0.48421,0.8384,0.00117435,0.00117435,0.00117435
20,3929.44,0.88904,0.47581,0.82531,0.94402,0.98455,0.97186,0.7948,0.7099,0.43003,0.82716,0.00116021,0.00116021,0.00116021
21,4053.08,0.86505,0.45954,0.8329,0.93575,0.98783,0.97459,0.78272,0.70399,0.44861,0.835,0.00114606,0.00114606,0.00114606
22,4290.89,0.86178,0.47782,0.82847,0.95263,1,0.96917,0.76456,0.74972,0.45012,0.83375,0.00113191,0.00113191,0.00113191
23,4434.56,0.84961,0.4595,0.82922,0.94578,0.99261,0.97887,0.78347,0.69596,0.41848,0.82584,0.00111776,0.00111776,0.00111776
24,4564.56,0.86727,0.48062,0.827,0.93908,0.99456,0.9813,0.79101,0.75265,0.45648,0.83504,0.00110362,0.00110362,0.00110362
25,4697.6,0.85586,0.46234,0.82703,0.94307,0.99479,0.96882,0.78087,0.67632,0.42491,0.822,0.00108947,0.00108947,0.00108947
26,4877.37,0.8445,0.46255,0.8255,0.93976,0.96474,0.96997,0.7529,0.76489,0.53153,0.8298,0.00107532,0.00107532,0.00107532
27,5047.68,0.8441,0.46856,0.81824,0.94976,0.98902,0.96575,0.76411,0.75721,0.44064,0.82916,0.00106118,0.00106118,0.00106118
28,5188.11,0.83892,0.47168,0.82308,0.95404,0.99479,0.97509,0.79352,0.68555,0.41181,0.82591,0.00104703,0.00104703,0.00104703
